Chemical Location (Inventory),Chemical Location Confidential - EPCRA,Is Trade Secret?,Tenant ID,Facility Id,Chemical Id,Data Sheet URL
Parts Department,Not Applicable,Not Applicable,c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,c3efd744-5917-4e8a-b078-a36e75280d61,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/c05510ba-38ab-4d63-8d7f-ba2745a076f3/safetyDataSheets/d1bad705-2ee2-4ce7-9273-ac9e32bbf17f.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T204613Z&X-Amz-Expires=604800&X-Amz-Signature=20172fbc75366335523d1729394660101a8cce6a6cb3cae140fffe339988df2f&X-Amz-SignedHeaders=host&x-id=GetObject
Parts Department,Not Applicable,Not Applicable,c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,c66a3020-1fd7-44c5-a326-25aa21dacd65,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/c05510ba-38ab-4d63-8d7f-ba2745a076f3/safetyDataSheets/4190c5da-eb87-47ba-851e-db9f2fbdedb1.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T204613Z&X-Amz-Expires=604800&X-Amz-Signature=5a2165922fa4152b5c3a59f2751a42c3195a025c48019dcdca45ed8e474b0d34&X-Amz-SignedHeaders=host&x-id=GetObject
Parts Department,Not Applicable,Not Applicable,c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,10c85505-fa72-4b6d-bd53-4a27671e601e,https://cdn.complyauto.com/safety/shared/safetyDataSheet/a1fd3100-cd43-424f-8e9b-0cb88e3a815d.pdf
Parts Department,Not Applicable,Not Applicable,c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,b61888ab-87f8-4a78-9a07-aac3480afd96,https://cdn.complyauto.com/safety/shared/safetyDataSheet/eec6ee3a-f22c-4214-b040-ba198f4d1c36.pdf
Parts Department,Not Applicable,Not Applicable,c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,74404669-a4b5-47d0-9da1-c9952c712b20,https://cdn.complyauto.com/safety/shared/safetyDataSheet/f9dfc5fa-1559-4637-b528-1f7470553ff0.pdf
Parts Department,Not Applicable,Not Applicable,c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,721e8ba0-b7f2-4b2f-a0f2-09f0853d7bd5,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/c05510ba-38ab-4d63-8d7f-ba2745a076f3/safetyDataSheets/3a2010e7-5fdf-4b02-acab-d296bf2a0221.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T204614Z&X-Amz-Expires=604800&X-Amz-Signature=09d45ff812630babb3ce503ff98e004af22e47d5b7f1fe1de8c22c6f3cbfd034&X-Amz-SignedHeaders=host&x-id=GetObject
Parts Department,Not Applicable,Not Applicable,c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,56fde5d5-f121-4280-8b72-1d7e9d4216ad,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/c05510ba-38ab-4d63-8d7f-ba2745a076f3/safetyDataSheets/8de8f8cb-c4f9-4832-8e9a-e4dcccc03f8f.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T204614Z&X-Amz-Expires=604800&X-Amz-Signature=164c6f2bb3560bf736961668b136537bdc1d6cde2c1edfe226bf3a3f6ecf3ab1&X-Amz-SignedHeaders=host&x-id=GetObject
Parts Department,Not Applicable,Not Applicable,c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,1ebe6750-af13-46df-a42d-399819628266,https://cdn.complyauto.com/safety/shared/safetyDataSheet/fea01a67-661f-4e06-a457-abfbaf7d329b.pdf
Parts Department,Not Applicable,Not Applicable,c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,74e690ab-a5e5-4d65-a965-b38ddd9d583a,https://s3.us-east-1.amazonaws.com/storage.complyauto.com/safety/c05510ba-38ab-4d63-8d7f-ba2745a076f3/safetyDataSheets/e145be50-4446-4f4d-8450-f5ebbc55b5f1.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45VTHIYLIIVESHIB%2F20240225%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240225T204614Z&X-Amz-Expires=604800&X-Amz-Signature=f9449a32952d6f0db3992234125f31da7479942598053e1f381e2d136106ef34&X-Amz-SignedHeaders=host&x-id=GetObject
Parts Department,Not Applicable,Not Applicable,c05510ba-38ab-4d63-8d7f-ba2745a076f3,6b1694cf-9f1b-4cf3-b267-9d08ca040723,69e6ccbe-4183-45f7-80fd-f3d480b4b754,https://cdn.complyauto.com/safety/shared/safetyDataSheet/b35ac1f2-604d-442f-b17d-974570c02567.pdf
